#id1,id2,cost
1,2,0
2,3,0
3,4,0
4,5,0
4,6,0
5,7,0
6,8,0
7,9,0
5,10,0
8,11,0
10,12,0
9,13,0
9,14,0
3,15,0
14,16,0
11,17,0
2,18,0
13,19,0
19,20,0
16,21,0
20,22,0
22,23,0
